,start_date,end_date,problem_start_number_of_icu_active_cases,problem_end_number_of_icu_active_cases,problem_vaccinated_population,city,problem_start_number_of_deaths,problem_end_number_of_deaths,problem_start_number_of_active_cases,problem_end_number_of_active_cases,problem_average_temperature,problem_average_humidity,solution_lockdown_policy_level,solution_vaccine_policy_level,solution_mask_policy_level
0,2020-04-25,2020-05-15,1.0,0.0,0.0,Birkenfeld,0.0,1.0,27.0,9.0,9.675619047619048,70.84761904761905,2.0,0.0,2.0
1,2020-05-15,2020-06-01,0.0,0.0,0.0,Birkenfeld,1.0,2.0,9.0,5.0,14.01377777777778,59.91111111111111,0.0,0.0,2.0
2,2020-06-01,2020-06-30,0.0,0.0,0.0,Birkenfeld,2.0,2.0,5.0,3.0,15.722133333333334,72.244,0.0,0.0,2.0
3,2020-06-30,2020-07-01,0.0,0.0,0.0,Birkenfeld,2.0,2.0,3.0,3.0,17.034000000000002,69.58,0.0,0.0,2.0
4,2020-07-01,2020-07-30,0.0,0.0,0.0,Birkenfeld,2.0,2.0,3.0,5.0,17.680133333333334,61.68533333333333,0.0,0.0,2.0
5,2020-07-30,2020-08-01,0.0,0.0,0.0,Birkenfeld,2.0,2.0,5.0,5.0,22.32133333333333,50.18666666666667,0.0,0.0,2.0
6,2020-08-01,2020-08-31,0.0,0.0,0.0,Birkenfeld,2.0,3.0,5.0,18.0,19.52051612903226,67.61290322580645,0.0,0.0,2.0
7,2020-08-31,2020-09-01,0.0,0.0,0.0,Birkenfeld,3.0,3.0,18.0,18.0,14.252,80.78,0.0,0.0,2.0
8,2020-09-01,2020-09-30,0.0,0.0,0.0,Birkenfeld,3.0,3.0,18.0,17.0,14.813333333333333,70.57333333333334,0.0,0.0,2.0
9,2020-09-30,2020-10-01,0.0,0.0,0.0,Birkenfeld,3.0,3.0,17.0,19.0,11.456000000000001,94.7,0.0,0.0,2.0
10,2020-10-01,2020-10-30,0.0,3.0,0.0,Birkenfeld,3.0,4.0,19.0,401.0,9.392933333333334,88.08133333333333,0.0,0.0,2.0
11,2020-10-30,2020-11-01,3.0,6.0,0.0,Birkenfeld,4.0,4.0,401.0,356.0,12.136000000000001,88.2,2.0,0.0,2.0
12,2020-11-01,2020-11-13,6.0,6.0,0.0,Birkenfeld,4.0,5.0,356.0,287.0,6.772615384615384,91.14461538461538,2.0,0.0,2.0
13,2020-11-13,2020-11-30,6.0,1.0,0.0,Birkenfeld,5.0,23.0,287.0,269.0,4.137777777777778,89.99333333333334,1.0,0.0,2.0
14,2020-11-30,2020-12-01,1.0,1.0,0.0,Birkenfeld,23.0,23.0,269.0,275.0,-1.034,92.26,1.0,0.0,2.0
15,2020-12-01,2020-12-31,1.0,1.0,0.0,Birkenfeld,23.0,43.0,275.0,156.0,3.3045333333333335,92.976,1.0,0.0,2.0
16,2020-12-31,2021-01-01,1.0,1.0,0.0,Birkenfeld,43.0,43.0,156.0,147.0,0.6679999999999999,96.4,2.0,2.0,2.0
17,2021-01-01,2021-01-19,1.0,3.0,0.0,Birkenfeld,43.0,51.0,147.0,225.0,-0.6014767932489452,88.9873417721519,2.0,2.0,2.0
18,2021-01-19,2021-02-19,3.0,0.0,0.0,Birkenfeld,51.0,75.0,225.0,178.0,1.197375,87.44875,2.0,2.0,2.0
19,2021-02-19,2021-03-04,0.0,1.0,0.0,Birkenfeld,75.0,80.0,178.0,149.0,6.388285714285713,76.20571428571428,2.0,2.0,2.0
20,2021-03-04,2021-03-18,1.0,0.0,0.0,Birkenfeld,80.0,81.0,149.0,101.0,3.0509333333333335,77.168,2.0,3.0,2.0
21,2021-03-18,2021-04-06,0.0,1.0,0.0,Birkenfeld,81.0,82.0,101.0,192.0,6.335619047619048,65.60571428571428,2.0,3.0,2.0
22,2021-04-06,2021-04-23,1.0,2.0,0.0,Birkenfeld,82.0,84.0,192.0,264.0,4.762,70.41111111111111,2.0,3.0,2.0
23,2021-04-23,2021-05-07,2.0,5.0,0.0,Birkenfeld,84.0,87.0,264.0,279.0,7.231733333333333,62.4,2.0,3.0,2.0
24,2021-05-07,2021-06-01,5.0,0.0,0.0,Birkenfeld,87.0,92.0,279.0,106.0,10.536307692307691,75.32615384615384,2.0,3.0,2.0
25,2021-06-01,2021-06-29,0.0,0.0,0.0,Birkenfeld,92.0,92.0,106.0,14.0,18.079862068965518,75.65241379310345,2.0,3.0,2.0
26,2021-06-29,2021-08-02,0.0,0.0,1.0,Birkenfeld,92.0,92.0,14.0,45.0,16.498742857142858,81.39885714285714,2.0,5.0,2.0
27,2021-08-02,2021-08-20,0.0,0.0,1.0,Birkenfeld,92.0,92.0,45.0,75.0,16.278947368421054,80.90736842105264,2.0,5.0,2.0
28,2021-08-20,2021-09-07,0.0,1.0,1.0,Birkenfeld,92.0,92.0,75.0,198.0,15.259368421052631,80.3242105263158,2.0,5.0,2.0
29,2021-09-07,2021-09-29,1.0,3.0,1.0,Birkenfeld,92.0,92.0,198.0,222.0,14.142782608695653,82.58260869565217,0.0,5.0,2.0
30,2021-09-29,2021-10-23,3.0,0.0,1.0,Birkenfeld,92.0,94.0,222.0,148.0,9.044,83.9264,0.0,5.0,2.0
31,2021-10-23,2021-11-04,0.0,1.0,1.0,Birkenfeld,94.0,97.0,148.0,151.0,7.182153846153845,91.43076923076923,0.0,5.0,2.0
32,2021-11-04,2021-11-19,1.0,1.0,1.0,Birkenfeld,97.0,99.0,151.0,366.0,4.16925,92.2,0.0,5.0,2.0
33,2021-11-19,2021-12-13,1.0,4.0,1.0,Birkenfeld,99.0,108.0,366.0,441.0,2.2740799999999997,90.3632,0.0,5.0,2.0
34,2021-12-13,2021-12-28,4.0,5.0,1.0,Birkenfeld,108.0,116.0,441.0,253.0,2.8532500000000005,92.1575,0.0,5.0,2.0
35,2021-12-28,2022-01-19,5.0,0.0,1.0,Birkenfeld,116.0,121.0,253.0,794.0,2.937818181818182,91.33272727272727,0.0,5.0,2.0
36,2022-01-19,2022-01-28,0.0,2.0,1.0,Birkenfeld,121.0,121.0,794.0,1486.0,0.964,88.512,0.0,5.0,2.0
37,2022-01-28,2022-02-17,2.0,1.0,2.0,Birkenfeld,121.0,122.0,1486.0,1952.0,4.150666666666666,82.98095238095237,0.0,5.0,2.0
38,2022-02-17,2022-03-18,1.0,2.0,2.0,Birkenfeld,122.0,141.0,1952.0,3048.0,3.3276,69.86666666666666,0.0,5.0,2.0
39,2022-03-18,2022-04-03,2.0,1.0,2.0,Birkenfeld,141.0,145.0,3048.0,3438.0,6.5489411764705885,63.5035294117647,0.0,5.0,2.0
40,2022-04-03,2022-04-26,1.0,1.0,2.0,Birkenfeld,145.0,146.0,3438.0,2139.0,7.9325,67.83166666666666,0.0,5.0,2.0
41,2022-04-26,2022-06-01,1.0,0.0,2.0,Birkenfeld,146.0,152.0,2139.0,383.0,13.701297297297298,67.39783783783784,0.0,5.0,2.0
42,2022-06-01,2022-06-17,0.0,0.0,2.0,Birkenfeld,152.0,152.0,383.0,672.0,16.491529411764706,65.69882352941177,0.0,5.0,2.0
43,2020-04-25,2020-05-15,0.0,0.0,0.0,Kusel,1.0,1.0,24.0,8.0,9.851028806584363,68.51028806584362,2.0,0.0,2.0
44,2020-05-15,2020-06-01,0.0,0.0,0.0,Kusel,1.0,1.0,8.0,4.0,14.090825688073396,59.27522935779817,0.0,0.0,2.0
45,2020-06-01,2020-06-30,0.0,0.0,0.0,Kusel,1.0,1.0,4.0,3.0,16.202269288956128,70.19213313161876,0.0,0.0,2.0
46,2020-06-30,2020-07-01,0.0,0.0,0.0,Kusel,1.0,1.0,3.0,3.0,17.034000000000002,69.58,0.0,0.0,2.0
47,2020-07-01,2020-07-30,0.0,0.0,0.0,Kusel,1.0,1.0,3.0,4.0,17.825900277008312,61.0595567867036,0.0,0.0,2.0
48,2020-07-30,2020-08-01,0.0,0.0,0.0,Kusel,1.0,1.0,4.0,4.0,22.32133333333333,50.18666666666667,0.0,0.0,2.0
49,2020-08-01,2020-08-31,0.0,0.0,0.0,Kusel,1.0,1.0,4.0,15.0,19.6676431424767,67.33821571238349,0.0,0.0,2.0
50,2020-08-31,2020-09-01,0.0,0.0,0.0,Kusel,1.0,1.0,15.0,15.0,14.252,80.78,0.0,0.0,2.0
51,2020-09-01,2020-09-30,0.0,0.0,0.0,Kusel,1.0,1.0,15.0,15.0,15.108732394366198,69.5661971830986,0.0,0.0,2.0
52,2020-09-30,2020-10-01,0.0,0.0,0.0,Kusel,1.0,1.0,15.0,16.0,12.577777777777776,91.88888888888889,0.0,0.0,2.0
53,2020-10-01,2020-10-30,0.0,0.0,0.0,Kusel,1.0,2.0,16.0,229.0,9.39322033898305,87.442218798151,0.0,0.0,2.0
54,2020-10-30,2020-11-01,0.0,0.0,0.0,Kusel,2.0,3.0,229.0,219.0,12.06875,88.40625,2.0,0.0,2.0
55,2020-11-01,2020-11-13,0.0,2.0,0.0,Kusel,3.0,7.0,219.0,363.0,7.173559322033899,90.09491525423729,2.0,0.0,2.0
56,2020-11-13,2020-11-30,2.0,3.0,0.0,Kusel,7.0,23.0,363.0,284.0,4.096889952153109,90.622009569378,1.0,0.0,2.0
57,2020-11-30,2020-12-01,3.0,3.0,0.0,Kusel,23.0,30.0,284.0,270.0,-0.6439024390243903,92.14634146341463,1.0,0.0,2.0
58,2020-12-01,2020-12-31,3.0,2.0,0.0,Kusel,30.0,44.0,270.0,137.0,3.412630014858841,92.78603268945022,1.0,0.0,2.0
59,2020-12-31,2021-01-01,2.0,2.0,0.0,Kusel,44.0,45.0,137.0,135.0,0.31999999999999995,95.16,2.0,2.0,2.0
60,2021-01-01,2021-01-19,2.0,4.0,0.0,Kusel,45.0,52.0,135.0,129.0,-0.7522105263157897,89.51578947368421,2.0,2.0,2.0
61,2021-01-19,2021-02-19,4.0,1.0,0.0,Kusel,52.0,58.0,129.0,44.0,1.5171249999999998,86.59,2.0,2.0,2.0
62,2021-02-19,2021-03-04,1.0,1.0,0.0,Kusel,58.0,59.0,44.0,27.0,6.556,75.22857142857143,2.0,2.0,2.0
63,2021-03-04,2021-03-18,1.0,0.0,0.0,Kusel,59.0,59.0,27.0,36.0,3.2477333333333336,75.848,2.0,3.0,2.0
64,2021-03-18,2021-04-06,0.0,1.0,0.0,Kusel,59.0,60.0,36.0,89.0,6.357714285714286,65.47428571428571,2.0,3.0,2.0
65,2021-04-06,2021-04-23,1.0,1.0,0.0,Kusel,60.0,64.0,89.0,131.0,4.863777777777777,69.96888888888888,2.0,3.0,2.0
66,2021-04-23,2021-05-07,1.0,3.0,0.0,Kusel,64.0,65.0,131.0,182.0,7.355733333333333,62.461333333333336,2.0,3.0,2.0
67,2021-05-07,2021-06-01,3.0,2.0,0.0,Kusel,65.0,67.0,182.0,61.0,10.527384615384616,76.06153846153846,2.0,3.0,2.0
68,2021-06-01,2021-06-29,2.0,1.0,0.0,Kusel,67.0,68.0,61.0,5.0,18.227310344827586,74.8896551724138,2.0,3.0,2.0
69,2021-06-29,2021-08-02,1.0,0.0,1.0,Kusel,68.0,68.0,5.0,7.0,16.661942857142858,80.63771428571428,2.0,5.0,2.0
70,2021-08-02,2021-08-20,0.0,0.0,1.0,Kusel,68.0,68.0,7.0,29.0,16.348631578947366,80.92421052631579,2.0,5.0,2.0
71,2021-08-20,2021-09-07,0.0,1.0,1.0,Kusel,68.0,69.0,29.0,87.0,15.439999999999998,78.53894736842105,2.0,5.0,2.0
72,2021-09-07,2021-09-29,1.0,0.0,1.0,Kusel,69.0,70.0,87.0,59.0,14.261565217391308,82.14434782608696,0.0,5.0,2.0
73,2021-09-29,2021-10-23,0.0,1.0,1.0,Kusel,70.0,71.0,59.0,62.0,9.1384,83.736,0.0,5.0,2.0
74,2021-10-23,2021-11-04,1.0,0.0,1.0,Kusel,71.0,71.0,62.0,82.0,7.380307692307692,90.66153846153846,0.0,5.0,2.0
75,2021-11-04,2021-11-19,0.0,1.0,1.0,Kusel,71.0,72.0,82.0,275.0,4.187749999999999,92.11,0.0,5.0,2.0
76,2021-11-19,2021-12-13,1.0,4.0,1.0,Kusel,72.0,76.0,275.0,441.0,2.2928,90.3072,0.0,5.0,2.0
77,2021-12-13,2021-12-28,4.0,1.0,1.0,Kusel,76.0,80.0,441.0,273.0,3.0810000000000004,91.84,0.0,5.0,2.0
78,2021-12-28,2022-01-19,1.0,2.0,1.0,Kusel,80.0,81.0,273.0,477.0,2.8947272727272724,91.68181818181819,0.0,5.0,2.0
79,2022-01-19,2022-01-28,2.0,1.0,1.0,Kusel,81.0,81.0,477.0,799.0,0.9676,88.6,0.0,5.0,2.0
80,2022-01-28,2022-02-17,1.0,0.0,2.0,Kusel,81.0,88.0,799.0,1264.0,4.123047619047619,83.75238095238095,0.0,5.0,2.0
81,2022-02-17,2022-03-18,0.0,1.0,2.0,Kusel,88.0,94.0,1264.0,2742.0,3.512266666666666,69.412,0.0,5.0,2.0
82,2022-03-18,2022-04-03,1.0,1.0,2.0,Kusel,94.0,97.0,2742.0,3859.0,6.73270588235294,62.42588235294118,0.0,5.0,2.0
83,2022-04-03,2022-04-26,1.0,0.0,2.0,Kusel,97.0,103.0,3859.0,1571.0,8.022,67.52666666666667,0.0,5.0,2.0
